report_year,report_date,guest_id,room,txn_code,amount
2022,12/4/2022,gst_76fa660f,234,AX,-460.88
2022,12/4/2022,gst_a674d791,212,AX,-82.31
2022,12/4/2022,gst_e5057dab,219,DR,-48.29
2022,12/4/2022,gst_8f2c6fff,136,DR,-48.29
2022,12/4/2022,gst_8f2c6fff,144,DR,-48.29
2022,12/4/2022,gst_20ac90b8,128,DR,-48.29
2022,12/4/2022,gst_20ac90b8,,DR,48.29
2022,12/4/2022,gst_149a94d8,,DR,48.29
2022,12/4/2022,gst_144c4ca5,,DR,48.29
2022,12/4/2022,gst_8f2c6fff,,DR,48.29
2022,12/4/2022,gst_8f2c6fff,,DR,48.29
2022,12/4/2022,gst_e5057dab,,DR,48.29
2022,12/4/2022,gst_e9cabc50,,DR,48.29
2022,12/4/2022,gst_e9cabc50,123,DR,-48.29
2022,12/4/2022,gst_149a94d8,129,DR,-48.29
2022,12/4/2022,gst_144c4ca5,127,DR,-48.29
2022,12/4/2022,gst_bf9aafc1,107,MC,-64.08
2022,12/4/2022,gst_3d1f486a,227,RM,0.00
2022,12/4/2022,gst_13e2ec7b,133,RM,56.20
2022,12/4/2022,gst_e1b000f0,147,RM,27.34
2022,12/4/2022,gst_76fa660f,234,RM,59.99
2022,12/4/2022,gst_a674d791,212,RM,75.00
2022,12/4/2022,gst_4c16433a,223,RM,72.99
2022,12/4/2022,gst_bf9aafc1,107,RM,58.39
2022,12/4/2022,gst_63b45b50,109,RM,59.99
2022,12/4/2022,gst_cf89e943,153,RM,65.51
2022,12/4/2022,gst_90f77578,151,RM,59.99
2022,12/4/2022,gst_b769e97e,253,RM,0.00
2022,12/4/2022,gst_8c795d51,252,RM,0.00
2022,12/4/2022,gst_e68d7cc2,130,RM,71.53
2022,12/4/2022,gst_13e2ec7b,133,TAX1,3.79
2022,12/4/2022,gst_e1b000f0,147,TAX1,1.85
2022,12/4/2022,gst_76fa660f,234,TAX1,4.05
2022,12/4/2022,gst_a674d791,212,TAX1,5.06
2022,12/4/2022,gst_4c16433a,223,TAX1,4.93
2022,12/4/2022,gst_bf9aafc1,107,TAX1,3.94
2022,12/4/2022,gst_63b45b50,109,TAX1,4.05
2022,12/4/2022,gst_cf89e943,153,TAX1,4.42
2022,12/4/2022,gst_90f77578,151,TAX1,4.05
2022,12/4/2022,gst_e68d7cc2,130,TAX1,4.83
2022,12/4/2022,gst_13e2ec7b,133,TAX2,1.69
2022,12/4/2022,gst_e1b000f0,147,TAX2,0.82
2022,12/4/2022,gst_76fa660f,234,TAX2,1.80
2022,12/4/2022,gst_a674d791,212,TAX2,2.25
2022,12/4/2022,gst_4c16433a,223,TAX2,2.19
2022,12/4/2022,gst_bf9aafc1,107,TAX2,1.75
2022,12/4/2022,gst_63b45b50,109,TAX2,1.80
2022,12/4/2022,gst_cf89e943,153,TAX2,1.97
2022,12/4/2022,gst_90f77578,151,TAX2,1.80
2022,12/4/2022,gst_e68d7cc2,130,TAX2,2.15
2022,12/4/2022,gst_4c16433a,223,VI,-80.11
2022,12/4/2022,gst_2c4ccc1e,121,VI,9.34
2022,12/4/2022,gst_2c4ccc1e,121,XBED,-15.00
2022,12/3/2022,gst_30e1c474,250,CA,-96.79
2022,12/3/2022,gst_3b7a2d22,152,CA,-93.28
2022,12/3/2022,gst_3b7a2d22,152,CA,93.28
2022,12/3/2022,gst_3b7a2d22,152,CA,-93.28
2022,12/3/2022,gst_3b7a2d22,152,CA,53.28
2022,12/3/2022,gst_07a5c451,,DR,49.39
2022,12/3/2022,gst_628e6ea7,,DR,49.39
2022,12/3/2022,gst_44bf595d,,DR,49.39
2022,12/3/2022,gst_a5a2a0f9,,DR,49.39
2022,12/3/2022,gst_82f9b760,,DR,49.39
2022,12/3/2022,gst_e5ca2c55,134,DR,-49.39
2022,12/3/2022,gst_07a5c451,244,DR,-49.39
2022,12/3/2022,gst_82f9b760,201,DR,-49.39
2022,12/3/2022,gst_628e6ea7,247,DR,-49.39
2022,12/3/2022,gst_a5a2a0f9,237,DR,-49.39
2022,12/3/2022,gst_13e2ec7b,133,MC,-1356.12
2022,12/3/2022,gst_268d2292,110,MC,-81.20
2022,12/3/2022,gst_3d27633d,125,MC,-80.69
2022,12/3/2022,gst_cf89e943,153,MC,-154.86
2022,12/3/2022,gst_9e98c705,143,MC,-69.95
2022,12/3/2022,gst_3b7a2d22,152,MISC,40.00
2022,12/3/2022,gst_3d1f486a,227,RM,0.00
2022,12/3/2022,gst_e5057dab,219,RM,44.00
2022,12/3/2022,gst_13e2ec7b,133,RM,65.44
2022,12/3/2022,gst_b9898fae,150,RM,62.99
2022,12/3/2022,gst_8f2c6fff,136,RM,44.00
2022,12/3/2022,gst_30e1c474,250,RM,88.19
2022,12/3/2022,gst_e1b000f0,147,RM,27.34
2022,12/3/2022,gst_76fa660f,234,RM,59.99
2022,12/3/2022,gst_8f2c6fff,144,RM,44.00
2022,12/3/2022,gst_20ac90b8,128,RM,44.00
2022,12/3/2022,gst_006c203c,216,RM,83.29
2022,12/3/2022,gst_721d397f,138,RM,89.99
2022,12/3/2022,gst_4c16433a,223,RM,84.99
